PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
02iyq,4r1k1/pp3p1p/q1p2Np1/3nP1Q1/8/1P1P3P/P3R1P1/7K b - - 1 28,d5f6 e5f6 e8e2 g5h6 e2e1 h1h2 e1h1 h2h1 c6c5 h6g7,1720,78,94,1207,endgame mate mateIn5 sacrifice veryLong,https://lichess.org/rpyv9rFS/black#56,
051YJ,7k/pp2q1p1/1n2p1Bp/1b3pN1/1n1P3P/8/PP1K1PP1/1Q5R b - - 0 24,h6g5 h4g5 h8g8 h1h8 g8h8 b1h1 h8g8 h1h7 g8f8 h7h8,1613,72,95,24248,attraction discoveredAttack discoveredCheck kingsideAttack mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/BLp2HacV/black#48,
065sJ,3rr2k/3qn1pp/p3R3/1p3p1Q/7R/2P4P/PP3PP1/6K1 b - - 9 27,h7h6 e6h6 g7h6 h5h6 h8g8 h6h8 g8f7 h4h7 f7e6 h7h6 e7g6 h6g6 e6d5 h8d4,2274,83,39,119,kingsideAttack mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/WEhie8nq/black#54,
07OUg,1k3rr1/2p5/1p5b/1P1NPBqp/2bP4/5Q1K/2P2R2/R7 b - - 0 33,f8f5 a1a8 b8a8 d5b6 a8a7 f3a3 a7b7 a3a6 b7b8 a6a8,2284,81,100,519,attraction discoveredCheck doubleCheck mate mateIn5 middlegame queensideAttack sacrifice veryLong,https://lichess.org/0szxvfJn/black#66,
07R2h,3q2k1/1Q2rpb1/3Pn2p/2P3p1/8/P5P1/1P4BP/3R2K1 w - - 1 36,d6e7 d8d1 g2f1 g7d4 g1g2 e6f4 g3f4 d1g4 g2h1 g4g1,2109,76,97,1430,endgame hangingPiece mate mateIn5 veryLong,https://lichess.org/g7P5S6O1#71,
08tul,Qnbq1rk1/p4ppp/8/1B6/4p1n1/2N2N2/PPPP1KPP/R1BQ3R w - - 1 10,f2g1 d8b6 d2d4 e4d3 f3d4 b6d4 c1e3 d4e3 g1f1 e3f2,1889,76,94,2450,discoveredAttack discoveredCheck enPassant kingsideAttack mate mateIn5 opening veryLong,https://lichess.org/czo7qy3F#19,Elephant_Gambit Elephant_Gambit_Other_variations
0A05m,5rk1/pp4p1/7p/3pp2Q/P2n4/2Pbq2N/1P1N1bPP/R1BK3R w - - 1 21,c3d4 f8c8 d2c4 d3c2 d1c2 c8c4 c2b1 e3d3 b1a2 c4a4,2530,83,93,1208,attraction exposedKing mate mateIn5 middlegame veryLong,https://lichess.org/ezBpSX2D#41,
0A8qq,r2qkb1r/pp1n1B2/2pQ3p/4P1pn/6b1/2N2NP1/PPP5/R1B2RK1 b - - 4 15,e8f7 f3g5 f7g7 f1f7 g7g8 d6g6 h5g7 f7g7 f8g7 g6f7,2297,78,93,1011,clearance discoveredCheck doubleCheck exposedKing mate mateIn5 middlegame veryLong,https://lichess.org/2ZpEwe05/black#30,Vienna_Game Vienna_Game_Other_variations
0Abz9,r2q1k1r/p4Pp1/b1p5/2b1N3/2p5/3P2p1/PPP1Q1P1/R1B1R1K1 w - - 2 18,c1e3 h8h1 g1h1 d8h4 h1g1 h4h2 g1f1 h2h1 e3g1 h1g1,1805,74,94,2406,attraction kingsideAttack mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/7JLlQi2F#35,Sicilian_Defense Sicilian_Defense_Grand_Prix_Attack
0Acau,8/5p1k/1pQ4p/p2P2p1/Pb1B1n2/1B3P1P/6PK/4q3 b - - 6 34,f4e2 b3c2 h7g8 c6e8 b4f8 c2h7 g8h7 e8f7 f8g7 f7g7,2099,79,89,350,attraction deflection endgame fork mate mateIn5 sacrifice veryLong,https://lichess.org/Tb8liqCQ/black#68,
0AdFZ,4r2k/1p2Np1p/p1pQ1P2/2P3r1/6pq/4R3/P5P1/6K1 b - - 4 38,g5h5 e7g6 h7g6 e3e8 h8h7 e8h8 h7h8 d6f8 h8h7 f8g7,1807,230,38,23,attraction discoveredAttack endgame mate mateIn5 sacrifice veryLong,https://lichess.org/rQN4Km9p/black#76,
0AtUL,8/pp2k3/2n5/2p1P1N1/4N1n1/2P5/PP4rr/3K1R2 b - - 4 33,g2b2 f1f7 e7d8 g5e6 d8c8 e4d6 c8b8 f7f8 c6d8 f8d8,1521,76,95,26574,exposedKing mate mateIn5 middlegame veryLong,https://lichess.org/31qIehlr/black#66,
0BjAV,5R2/8/P7/8/6k1/2b3pp/8/7K w - - 2 52,a6a7 g3g2 h1h2 c3e5 h2g1 e5d4 f8f2 g4g3 a7a8q h3h2,2272,80,86,688,advancedPawn endgame exposedKing mate mateIn5 pin veryLong,https://lichess.org/oPMMTyiN#103,
0C0Cp,3q1r1k/3Q2pp/4B3/4P3/3P3n/4b3/3N1P1P/5RK1 w - - 0 26,f2e3 d8g5 e6g4 g5e3 g1h1 f8f1 d2f1 e3e4 g4f3 e4f3 h1g1 f3g2,1929,76,89,402,deflection fork mate mateIn5 middlegame veryLong,https://lichess.org/JEtA2tgq#51,
0CULL,5rk1/pBp2ppp/5n2/5q2/Q3r3/2B4P/PP2nPPK/R3R3 w - - 3 18,b7e4 f6g4 h3g4 f5f4 g2g3 f4f2 e4g2 f2g3 h2h1 g3h4 g2h3 h4h3,2243,100,24,68,mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/ji9fzq0l#35,French_Defense French_Defense_Knight_Variation
0CYaa,2r2r1k/4b1pp/4Q3/q2pp1P1/1p1pP3/1P1P4/1PP2PK1/2B4R b - - 3 27,a5c7 h1h7 h8h7 g5g6 h7h8 e6h3 e7h4 h3h4 h8g8 h4h7,1946,75,95,10885,attraction kingsideAttack mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/TNAz8scz/black#54,
0CbHm,2rq1r1k/pb2bppB/4p3/2n1N3/3p1N2/P3P3/5PPP/RQ3RK1 b - - 0 19,d4e3 e5f7 f8f7 f4g6 h8h7 g6f8 h7g8 b1h7 g8f8 h7h8,2271,80,84,93,discoveredCheck doubleCheck kingsideAttack mate mateIn5 opening sacrifice veryLong,https://lichess.org/Y8rjkAyY/black#38,
0FVlD,2kr3r/ppp2p2/2n5/2Pp2p1/1P1P2n1/4P1Pq/1P2NPNP/R1BQR1K1 w - - 4 18,f2f3 h3h2 g1f1 h2h1 e2g1 h1g2 f1g2 h8h2 g2f1 h2f2,2370,80,92,1902,attraction kingsideAttack mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/4KDOY0TG#35,Hungarian_Opening Hungarian_Opening_Other_variations
0G1P5,r1bq1r2/pp1nb1pk/2n1pp2/2ppP1N1/3P3P/P1P5/1P1N1PP1/R1BQK2R b KQ - 1 11,f6g5 h4g5 h7g8 h1h8 g8h8 d1h5 h8g8 g5g6 d7f6 e5f6 f8f6 h5h7 g8f8 h7h8,2089,78,67,271,attraction discoveredAttack discoveredCheck mate mateIn5 opening sacrifice veryLong,https://lichess.org/HRRQDU3G/black#22,French_Defense French_Defense_Tarrasch_Variation
0GKwj,5rk1/5ppp/1qb5/8/4nQ1N/8/4r1PP/1R3R1K b - - 14 32,b6d4 f4f7 f8f7 b1b8 d4d8 b8d8 c6e8 d8e8 f7f8 f1f8,1117,83,87,1891,mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/n23IzwMG/black#64,
0Gayy,3q2rk/1b3Rr1/8/2p5/2BP3P/2P3P1/P4PK1/2Q4R w - - 1 33,g2h2 d8h4 g3h4 g7g2 h2h3 b7c8 f7d7 c8d7 c4e6 d7e6,1641,78,94,12355,mate mateIn5 middlegame morphysMate sacrifice veryLong,https://lichess.org/E055blu5#65,
0HLAQ,3r1rk1/pbp1qppp/1p2p3/4b3/2PB2Q1/5P1N/PP2KP1P/3R2R1 b - - 6 19,e5f6 g4g7 f6g7 g1g7 g8h8 g7g8 h8g8 d1g1 e7g5 g1g5,2259,76,93,9676,attraction discoveredCheck doubleCheck kingsideAttack mate mateIn5 middlegame pillsburysMate sacrifice veryLong,https://lichess.org/KMfVAThD/black#38,Indian_Defense Indian_Defense_Other_variations
0HdH1,5r1k/6p1/2QBB2p/3Pb1q1/4p3/4P1p1/1P3P1P/2R3K1 w - - 0 35,f2g3 g5e3 g1g2 f8f2 g2h3 f2h2 h3h2 e3g3 h2h1 g3h2,2351,80,92,7983,attraction mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/Lu7sE015#69,
0Inzg,6rk/1Q4pp/5nrq/p4p2/1b1BpP2/4P1PP/PP1N3K/3R2R1 w - - 14 33,d2c4 f6g4 h2g2 h6h3 g2h3 g6h6 h3g2 h6h2 g2f1 h2f2,2020,79,88,1192,attraction mate mateIn5 middlegame pillsburysMate pin sacrifice veryLong,https://lichess.org/93uUcZ7r#65,
0JdqI,8/4Rp1k/p5pp/3q4/8/P3Q1PP/5P1K/3r4 w - - 6 41,g3g4 d1h1 h2g3 h1g1 g3h4 d5h5 g4h5 g6g5 e3g5 h6g5,2447,84,92,325,endgame mate mateIn5 sacrifice veryLong,https://lichess.org/71cIDS9s#81,
0JhHh,3RQ3/5pk1/5pp1/p6p/P7/1Br3KP/5PP1/6q1 w - - 8 35,f2f3 h5h4 g3h4 g1f2 g2g3 g6g5 h4h5 f2f3 g3g4 f3h3,1906,79,89,1668,attraction endgame mate mateIn5 veryLong,https://lichess.org/nt9DcRmB#69,
0K4vt,2Q5/4b3/r3r1pk/5p2/p3p3/8/1P3PPK/8 b - - 1 44,a6c6 c8h8 h6g5 g2g3 g5g4 h2g2 f5f4 h8h3 g4g5 h3h4 g5f5 h4f4,2341,80,95,10219,endgame mate mateIn5 quietMove veryLong,https://lichess.org/DQgwW8Hz/black#88,
0KlmR,8/8/6p1/7p/7P/pK6/8/k7 b - - 3 68,a3a2 b3c2 g6g5 h4g5 h5h4 g5g6 h4h3 g6g7 h3h2 g7g8q h2h1q g8g7,1611,78,96,878,advancedPawn endgame mate mateIn5 pawnEndgame promotion veryLong zugzwang,https://lichess.org/5YguiO0c/black#136,
0LStG,r2q1rk1/2pb2p1/3p3p/p1pPpn2/2P3Pb/P1NQBP1P/1PB2R2/R5K1 b - - 0 21,f5e3 d3h7 g8f7 c2g6 f7f6 c3e4 f6e7 h7g7 f8f7 g7f7,1535,76,92,2416,deflection kingsideAttack mate mateIn5 middlegame veryLong,https://lichess.org/ctJ21XM6/black#42,
0M5Ln,2rk2r1/1R3p2/R1n1p3/3pP3/Q1pP1q1p/2P1nN1P/5BP1/6K1 w - - 8 27,a6c6 g8g2 g1h1 g2h2 f3h2 f4e4 h2f3 e4f3 h1g1 f3g2,1994,74,94,6594,fork mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/2HCIEqX3#53,
0MvjA,r1bqk2r/1p1n1pp1/p7/3p3p/3Pp1n1/1PN1PP2/P2NB1PK/R1BQ1R2 w kq - 1 13,f3g4 h5g4 h2g1 h8h1 g1h1 d8h4 h1g1 g4g3 d2f3 e4f3 f1f3 h4h2 g1f1 h2h1,2305,85,89,632,attraction discoveredAttack discoveredCheck mate mateIn5 opening sacrifice veryLong,https://lichess.org/t11aP86b#25,English_Opening English_Opening_Anglo-Indian_Defense
0Ngid,6k1/8/p3q3/1pQ1n1B1/2Pp4/PP1P2P1/5P2/6K1 w - - 1 37,f2f4 e5f3 g1f1 e6e1 f1g2 e1e2 g2h3 f3g1 h3h4 e2h2 h4g4 h2h3,2250,77,93,10754,endgame exposedKing mate mateIn5 veryLong,https://lichess.org/BMbFUOiH#73,
0NyoS,2r3k1/pp4p1/4p1PR/q2pP1N1/1bnP2P1/2NQ4/Pr6/K1R5 b - - 0 23,b4c3 h6h8 g8h8 d3h3 h8g8 h3h7 g8f8 h7h8 f8e7 h8g7 e7e8 g7f7 e8d8 g5e6,2071,78,88,75,attraction deflection kingsideAttack mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/TZS4QhjI/black#46,
0ObD2,5r1k/7r/q1p1p3/p2nQ3/3P2N1/2P4P/5P2/1R5K b - - 7 36,h8g8 g4h6 h7h6 b1g1 g8f7 g1g7 f7e8 e5b8 a6c8 b8c8,2427,88,89,298,exposedKing master mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/kbFzdkUR/black#72,
0PbDU,6k1/1R3p2/1N1b2p1/1P1p1p2/3P2qp/2P3P1/1Q3P1P/6K1 w - - 0 29,b6d7 g4d1 g1g2 h4h3 g2h3 d1f1 h3h4 d6e7 d7f6 e7f6,2012,76,92,1535,attraction endgame mate mateIn5 veryLong,https://lichess.org/o8BDDxxy#57,
0PhbW,3r1rk1/4R2p/p4pp1/1p1N4/4QPPb/8/P4q1P/3R3K b - - 1 27,f6f5 d5f6 h4f6 e4e6 g8h8 e6f6 f8f6 d1d8 f6f8 d8f8,2606,87,92,594,deflection mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/CwRIxdLU/black#54,
0RIA8,r1b2r2/1pp2k2/p1p2pNQ/8/3P4/7P/PPP3PK/q7 b - - 0 24,c8f5 h6h7 f7e6 h7e7 e6d5 g6f4 d5d4 c2c3 d4c4 e7b4,2277,81,83,352,endgame mate mateIn5 veryLong,https://lichess.org/FEgEJ5V9/black#48,
0SPDT,3r2k1/1q4pp/p1b1r3/1p2p3/2P2Q2/P1B5/B1P3PP/4R1RK w - - 0 29,e1e5 c6g2 g1g2 d8d1 c3e1 d1e1 e5e1 e6e1 f4f1 e1f1,1170,80,89,2265,kingsideAttack mate mateIn5 middlegame sacrifice veryLong xRayAttack,https://lichess.org/Wp3dIxEf#57,
0TDcA,3rr1k1/1b3p2/5P1p/1p2qNp1/p1p1p3/P3QP1B/1P5P/6RK b - - 1 34,e4f3 g1g5 g8f8 g5g8 f8g8 e3g1 e5g3 g1g3 g8h8 g3g7,2226,76,93,1401,attraction kingsideAttack mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/eVLvhL8D/black#68,
0TwfH,8/1Q5p/2p1Q1pk/4Ppq1/3Pp3/4P1br/6P1/2B2RK1 w - - 0 36,f1f5 h3h1 g1h1 g5h4 h1g1 h4h2 g1f1 h2h1 f1e2 h1e1,1940,75,98,2040,attraction mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/0wviwDNX#71,
0UNli,2b2rk1/1pp2ppp/2qb4/7Q/2PB4/1P6/2P2PP1/5KR1 b - - 2 19,g7g6 h5h7 g8h7 g1h1 d6h2 h1h2 c8h3 h2h3 h7g8 h3h8,2098,79,91,2718,attraction mate mateIn5 middlegame operaMate sacrifice veryLong,https://lichess.org/yxq9muVA/black#38,Italian_Game Italian_Game_Two_Knights_Defense
0UR61,r4k2/7q/p3p1Rp/1p1pP2Q/2nP2P1/2P4N/PPn4P/7K w - - 3 29,g6h6 h7e4 h1g1 e4e1 g1g2 c2e3 g2f3 c4d2 f3f4 e1f1 h3f2 f1f2 f4g5 d2e4 g5g6 f2f7,2583,97,90,2777,kingsideAttack mate mateIn5 middlegame veryLong,https://lichess.org/xOC0egRl#57,
